Platform,Month,Member,VideoCount,TotalMetric,AvgMetric
TIKTOK,2022-07,GROUP/UNKNOWN,1,2100000,2100000
TIKTOK,2022-08,GROUP/UNKNOWN,7,47500000,6785714
TIKTOK,2022-09,GROUP/UNKNOWN,3,6000000,2000000
TIKTOK,2022-10,GROUP/UNKNOWN,1,2900000,2900000
TIKTOK,2022-12,GROUP/UNKNOWN,2,21500000,10750000
TIKTOK,2023-01,GROUP/UNKNOWN,2,14899999,7450000
TIKTOK,2023-02,GROUP/UNKNOWN,1,2100000,2100000
TIKTOK,2023-03,GROUP/UNKNOWN,13,105200000,8092308
TIKTOK,2023-04,GROUP/UNKNOWN,15,78300000,5220000
TIKTOK,2023-05,GROUP/UNKNOWN,7,28900000,4128571
TIKTOK,2023-06,GROUP/UNKNOWN,2,8200000,4100000
TIKTOK,2023-07,GROUP/UNKNOWN,2,69400000,34700000
TIKTOK,2023-09,GROUP/UNKNOWN,2,2144500,1072250
TIKTOK,2023-10,GROUP/UNKNOWN,16,48745600,3046600
TIKTOK,2023-11,GROUP/UNKNOWN,15,23749600,1583307
TIKTOK,2023-12,GROUP/UNKNOWN,6,11500000,1916667
TIKTOK,2024-01,GROUP/UNKNOWN,31,70536899,2275384
TIKTOK,2024-02,GROUP/UNKNOWN,23,63973600,2781461
TIKTOK,2024-03,GROUP/UNKNOWN,17,15893900,934935
TIKTOK,2024-04,GROUP/UNKNOWN,6,9843300,1640550
TIKTOK,2024-05,GROUP/UNKNOWN,18,35232100,1957339
TIKTOK,2024-06,GROUP/UNKNOWN,29,20998000,724069
TIKTOK,2024-07,GROUP/UNKNOWN,16,14721000,920062
TIKTOK,2024-08,GROUP/UNKNOWN,25,39550100,1582004
TIKTOK,2024-09,GROUP/UNKNOWN,1,3500000,3500000
TIKTOK,2024-10,GROUP/UNKNOWN,4,11300000,2825000
TIKTOK,2024-11,GROUP/UNKNOWN,7,19965300,2852186
TIKTOK,2024-12,GROUP/UNKNOWN,10,25324600,2532460
TIKTOK,2025-01,GROUP/UNKNOWN,14,21482000,1534429
TIKTOK,2025-02,GROUP/UNKNOWN,27,91837400,3401385
TIKTOK,2025-04,GROUP/UNKNOWN,13,22276600,1713585
TIKTOK,2025-05,GROUP/UNKNOWN,13,26006300,2000485
TIKTOK,2025-07,GROUP/UNKNOWN,21,18209000,867095
TIKTOK,2025-08,GROUP/UNKNOWN,11,12249700,1113609
TIKTOK,2025-09,GROUP/UNKNOWN,22,10968800,498582
TIKTOK,2025-10,GROUP/UNKNOWN,6,54938700,9156450
TIKTOK,2025-11,GROUP/UNKNOWN,6,4605300,767550
TIKTOK,2025-12,GROUP/UNKNOWN,7,16119999,2302857
TIKTOK,2026-01,GROUP/UNKNOWN,6,6363000,1060500
TIKTOK,2026-02,GROUP/UNKNOWN,21,38283436,1823021
DOUYIN,2024-07,WONYOUNG,5,338149,67630
DOUYIN,2024-08,WONYOUNG,4,384985,96246
DOUYIN,2024-09,WONYOUNG,3,381080,127027
DOUYIN,2024-10,WONYOUNG,2,423920,211960
DOUYIN,2024-11,WONYOUNG,2,152917,76458
DOUYIN,2024-12,WONYOUNG,2,138328,69164
DOUYIN,2025-01,WONYOUNG,7,621900,88843
DOUYIN,2025-02,WONYOUNG,11,607573,55234
DOUYIN,2025-06,WONYOUNG,1,1644152,1644152
DOUYIN,2025-09,WONYOUNG,1,4432023,4432023
DOUYIN,2025-10,WONYOUNG,1,2715154,2715154
DOUYIN,2025-12,WONYOUNG,1,122707,122707
DOUYIN,2026-01,WONYOUNG,3,4353912,1451304
DOUYIN,2026-02,WONYOUNG,1,143557,143557
DOUYIN,2024-06,YUJIN,5,82633,16527
DOUYIN,2024-07,YUJIN,6,95402,15900
DOUYIN,2024-08,YUJIN,3,37730,12577
DOUYIN,2024-09,YUJIN,2,51516,25758
DOUYIN,2024-10,YUJIN,5,108784,21757
DOUYIN,2024-11,YUJIN,6,86403,14400
DOUYIN,2024-12,YUJIN,3,65227,21742
DOUYIN,2025-01,YUJIN,14,642088,45863
DOUYIN,2025-02,YUJIN,12,196955,16413
DOUYIN,2025-03,YUJIN,4,204953,51238
DOUYIN,2025-04,YUJIN,1,20008,20008
DOUYIN,2025-05,YUJIN,3,298960,99653
DOUYIN,2025-06,YUJIN,3,204772,68257
DOUYIN,2025-09,YUJIN,4,544501,136125
DOUYIN,2025-11,YUJIN,1,321568,321568
DOUYIN,2025-12,YUJIN,3,409414,136471
DOUYIN,2026-01,YUJIN,4,1086082,271520
DOUYIN,2024-05,REI,9,187819,20869
