Platform,ID,Title,Members,Views,Likes,Comments,Favorites,Shares,Date,URL
YOUTUBE,USddvHrJG5k,#IVE #AfterLIKE 'IVE'S WEEK' DAY 3 🌿 #Shorts,GROUP/UNKNOWN,595000,40692,420,,,2022-09-21,https://www.youtube.com/shorts/USddvHrJG5k
YOUTUBE,tjyUE3irRpM,#IVE #AfterLIKE 'IVE'S WEEK' DAY 4 🤍 #Shorts,GROUP/UNKNOWN,252000,22425,148,,,2022-09-22,https://www.youtube.com/shorts/tjyUE3irRpM
YOUTUBE,0HcEB8gXD7E,아이브 동숲친구들의 랩 실력 #Shorts,GROUP/UNKNOWN,209000,16291,103,,,2022-09-22,https://www.youtube.com/shorts/0HcEB8gXD7E
YOUTUBE,apjt-dZy38A,"띵똥, 다이브 친군데요  저 퇴근이래요 #Shorts",GROUP/UNKNOWN,358000,27569,350,,,2022-09-22,https://www.youtube.com/shorts/apjt-dZy38A
YOUTUBE,C7_iw7gZlDM,#IVE #AfterLIKE 'IVE'S WEEK' DAY 5 🌈 #Shorts,GROUP/UNKNOWN,844000,52396,415,,,2022-09-23,https://www.youtube.com/shorts/C7_iw7gZlDM
YOUTUBE,pbT8LA2AvI8,#IVE #AfterLIKE 'IVE'S WEEK' DAY 6 🌟 #Shorts,GROUP/UNKNOWN,355000,25634,230,,,2022-09-24,https://www.youtube.com/shorts/pbT8LA2AvI8
YOUTUBE,9WU6zxGpacU,#IVE #AfterLIKE 'IVE'S WEEK' DAY 7 🎨 #Shorts,GROUP/UNKNOWN,821000,39271,333,,,2022-09-25,https://www.youtube.com/shorts/9WU6zxGpacU
YOUTUBE,s9LO-hu6Psw,오늘의 제스처는? #Shorts,GROUP/UNKNOWN,240000,19131,125,,,2022-09-26,https://www.youtube.com/shorts/s9LO-hu6Psw
YOUTUBE,ajda-Naojd0,'콩'국수 #Shorts,GROUP/UNKNOWN,419000,26132,219,,,2022-09-26,https://www.youtube.com/shorts/ajda-Naojd0
YOUTUBE,baVQSFNN7Tw,함께하는 LOVE DIVE🎤💙 #Shorts,GROUP/UNKNOWN,202000,21513,139,,,2022-09-30,https://www.youtube.com/shorts/baVQSFNN7Tw
YOUTUBE,jhcMdQq9o-Y,릴레이로 LOVE DIVE 🌊💘 #Shorts,REI,5200000,191152,1200,,,2022-09-30,https://www.youtube.com/shorts/jhcMdQq9o-Y
YOUTUBE,RiILha0k7BE,아이브의 등장💙 #Shorts,GROUP/UNKNOWN,928000,39398,310,,,2022-10-01,https://www.youtube.com/shorts/RiILha0k7BE
YOUTUBE,iLJv-5b1_qo,"YONSEI UNIV  and IVE, It’s more than LIKE💙 #Shorts",GROUP/UNKNOWN,379000,25971,209,,,2022-10-01,https://www.youtube.com/shorts/iLJv-5b1_qo
YOUTUBE,LlBulKGmnow,가을선배도 탑승합니다 #Shorts,GAEUL,2200000,141879,3100,,,2022-10-05,https://www.youtube.com/shorts/LlBulKGmnow
YOUTUBE,EuJuD12-z2E,아이브의 고기말이쇼 #Shorts,GROUP/UNKNOWN,364000,20619,187,,,2022-10-13,https://www.youtube.com/shorts/EuJuD12-z2E
YOUTUBE,07AOS9O0tc0,방청소를 앞둔 우리의 마음가짐 #Shorts,GROUP/UNKNOWN,287000,19012,156,,,2022-10-13,https://www.youtube.com/shorts/07AOS9O0tc0
YOUTUBE,4302jgTRu2Q,원영이의 쪼꼬바브카 #Shorts,WONYOUNG,639000,41342,622,,,2022-10-20,https://www.youtube.com/shorts/4302jgTRu2Q
YOUTUBE,KwszQZCr4e0,아이브 도넛 세트 '도이브' #Shorts,GROUP/UNKNOWN,416000,24098,242,,,2022-10-20,https://www.youtube.com/shorts/KwszQZCr4e0
YOUTUBE,ncokRjJCyEM,리즈와 이서의 일본어 공부법 #Shorts,LIZ/LEESEO,583000,32951,240,,,2022-10-20,https://www.youtube.com/shorts/ncokRjJCyEM
YOUTUBE,wisUPmVVF9Y,가을 선배와 띠동갑 후배들이 함께 추는 LOVE DIVE | 가을 선배는 질문을 싫어해 | IVE 아이브 #Shorts,GAEUL,1400000,58245,1000,,,2022-12-09,https://www.youtube.com/shorts/wisUPmVVF9Y
YOUTUBE,WZmZsZ99cX0,달려라 같은차즈 🏃💨 #Shorts #RunBTS #달려라방탄,GROUP/UNKNOWN,431000,29500,262,,,2022-12-21,https://www.youtube.com/shorts/WZmZsZ99cX0
