Platform,Rank,Member,Value,Title,URL
DOUYIN,8,WONYOUNG,800921,𝘾𝙊𝙈𝙄𝙉𝙂 𝙎𝙊𝙊𝙉  #IVE #JANGWONYOUNG #张员瑛,https://www.douyin.com/video/7597458598956528566
DOUYIN,9,GROUP/UNKNOWN,716600,📢 IVE WORLD TOUR <SHOW WHAT I AM> D-4 🩶  𓊆ྀི❤︎𓊇ྀི  ▪ 2025.10.31 (FRI) 7:30PM ▪ 2,https://www.douyin.com/video/7565801890236251619
DOUYIN,10,YUJIN,663414,⛰️  #IVE  #ANYUJIN #安俞真 #REVIVE_PLUS #弥渡山歌舞蹈,https://www.douyin.com/video/7601029221205214393
DOUYIN,11,LIZ,653673,ˢᵂᴱᴱᵀ ˢᵂᴱᴱᵀ ˢᵂᴱᴱᵀ ʚ꩜ɞ ⋆⑅˚₊  #IVE  #丽兹  #Valentino #ValentinoGaravani #ValentinoF,https://www.douyin.com/video/7558046550510865724
DOUYIN,12,LIZ,562840,/ᐠ - ̫ -マ ฅ⸒⸒ᶜᵒᵐᵉ ᵒᶰ  #IVE #丽兹 #IVE_SECRET  #XOXZ #IVE_XOXZ,https://www.douyin.com/video/7548120062637690171
DOUYIN,13,LIZ,518869,OK😉⊹⁺₊  #IVE#丽兹 #REVIVE_PLUS  #ValentinoSpeculaMundi #ValentinoHauteCouture,https://www.douyin.com/video/7601412114867948282
DOUYIN,14,GAEUL/LIZ,508982,不管怎样你都很漂亮 🙅‍♀️OXZ  #IVE  #秋天 #丽兹 #哈吉嘛 #XOXZ,https://www.douyin.com/video/7544250846935272756
DOUYIN,15,LIZ/LEESEO,475420,凹凸不平的 〰️ 光滑光滑的 🫨  #IVE  #张员瑛  #丽兹  #李瑞,https://www.douyin.com/video/7573570352821299109
DOUYIN,16,GROUP/UNKNOWN,447703,IVE 'That's my girl' 舞蹈练习来啦 #IVE#IVE四周年 #星动营业中 #高能偶像派对,https://www.douyin.com/video/7582472753974889738
DOUYIN,17,LIZ,427657,Come to my XOXZ 💭🐈‍⬛💋🫂  #IVE #丽兹 #IVE_SECRET  #XOXZ #IVE_XOXZ,https://www.douyin.com/video/7543481443209448704
DOUYIN,18,REI,405827,"""豚鼠z完整体""  #HARUA #SAKUYA #WONHEE #REI",https://www.douyin.com/video/7587807990955584747
DOUYIN,19,GROUP/UNKNOWN,389322,REBEL HEART (Holiday ver.) 🎅🏻ྀི🎄  #IVE #2025SBS歌谣大战,https://www.douyin.com/video/7587778778979847460
DOUYIN,20,REI/LIZ,382166,04z 为你唱少女时代Gee  员瑛，请你用最嗨的方式喊一声‘no’，更嗨一点！ 丽兹，请你用最嗨的方式喊一声‘oh’，更嗨一点！ 怜，请你用最嗨的方式喊一声‘,https://www.douyin.com/video/7573981513198483427
